generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1890000,6,28.2023,46.9812,4.23583,0.386257
1900000,4,21.6778,47.7337,1.21625,0.368025
1910000,5,21.5662,46.1698,3.5778,0.383071
1920000,7,29.4429,35.4577,2.38511,0.3549
1930000,9,39.2108,30.2112,2.86582,0.365267
1940000,4,21.5849,44.9481,2.00387,0.3582
1950000,7,30.3637,62.4847,3.33725,0.358
1960000,3,15.5729,32.0134,2.16274,0.3685
1970000,4,21.6868,19.3267,1.35743,0.38868
1980000,9,34.1575,45.6272,4.7435,0.36459
1990000,4,19.4172,63.194,1.66641,0.35305
2000000,6,31.6133,49.4945,2.93279,0.3688
2010000,5,25.0595,44.4738,2.39593,0.381367
2020000,6,23.0192,48.4492,4.71926,0.365167
2030000,3,17.1245,42.7962,1.45166,0.362733
2040000,5,25.5749,45.9812,2.46181,0.37235
2050000,6,22.8997,47.1423,3.95424,0.3847
2060000,8,34.8821,53.0329,3.5598,0.359
2070000,5,22.8897,28.9699,3.91259,0.3616
2080000,3,10.1809,43.7431,0.252953,0.35725
2090000,4,20.9404,50.8906,3.50956,0.34925
2100000,5,18.4679,51.6974,5.13568,0.3742
2110000,3,13.2674,30.884,1.12962,0.37717
2120000,11,50.3474,40.5335,3.67089,0.364425
2130000,6,20.5473,52.9983,1.41967,0.3639
2140000,7,29.7487,35.359,5.13827,0.3956
2150000,7,34.2205,45.2543,2.72478,0.392975
2160000,5,27.0862,51.3693,2.06828,0.3691
2170000,10,43.0222,41.0278,4.50853,0.378675
2180000,4,23.8518,54.3248,1.23739,0.4073
2190000,6,29.0041,59.2704,5.21228,0.3813
2200000,4,16.5656,52.0962,2.5661,0.3626
2210000,4,19.0915,58.0305,1.40774,0.383133
2220000,3,12.6993,39.8879,3.87755,0.3727
2230000,8,34.3361,30.8131,5.15363,0.359333
2240000,3,18.0059,38.8933,1.08968,0.3666
2250000,7,33.6042,45.4972,4.24529,0.3623
2260000,7,33.3494,42.299,3.6312,0.389233
2270000,4,15.9356,36.2301,2.30566,0.3876
2280000,5,25.1534,47.2201,3.20367,0.368933
2290000,3,14.3905,36.0567,0.814858,0.374425
2300000,3,8.33853,49.4285,1.00897,0.3674
2310000,3,14.6584,44.3295,1.98731,0.3825
2320000,3,14.6095,44.958,2.4999,0.3695
2330000,4,21.4573,26.0419,1.77636,0.378333
2340000,3,16.1843,51.4056,2.70851,0.3702
2350000,4,18.5284,63.3078,1.11726,0.384537
2360000,5,23.6256,47.719,1.65731,0.3395
2370000,3,16.1589,42.2485,3.73331,0.3596
2380000,5,18.0731,24.3278,2.92651,0.379317
2390000,6,19.2738,48.5265,4.15927,0.3655
2400000,5,25.743,31.09,3.22577,0.364583
2410000,3,14.1961,52.3643,2.67202,0.390533
2420000,5,19.0898,40.6928,5.63402,0.36395
2430000,3,12.0645,24.3253,1.66853,0.3953
2440000,9,38.827,52.467,4.45877,0.3748
2450000,7,31.5781,41.7347,2.69137,0.3827
2460000,5,24.3985,50.8085,3.38639,0.370392
2470000,5,21.4032,50.4168,2.79169,0.378967
2480000,3,12.757,42.2118,2.20244,0.3669
2490000,3,16.9466,51.1644,2.87427,0.370267
2500000,4,18.4363,16.3281,1.38246,0.3748
2510000,5,22.3966,47.6061,2.72393,0.396767
2520000,5,20.8954,20.162,2.91573,0.3798
2530000,7,29.327,32.6482,6.09094,0.37665
2540000,3,12.2694,56.9013,2.1115,0.38065
2550000,3,13.26,51.84,1.6427,0.3671
2560000,4,20.47,58.1504,1.40256,0.3654
2570000,7,34.9212,46.1149,2.28117,0.371575
2580000,5,22.3866,46.667,3.42724,0.366563
2590000,6,28.1677,49.278,2.91266,0.3788
2600000,6,26.086,37.9654,2.60322,0.35466
2610000,4,17.4942,54.3161,4.90346,0.354625
2620000,6,24.0082,51.0258,3.91587,0.36475
2630000,5,17.892,26.6627,4.03243,0.39575
2640000,5,26.0626,51.1122,1.76611,0.369175
2650000,6,28.1354,50.2955,4.65028,0.374067
2660000,6,24.5603,27.9734,4.02597,0.417233
2670000,6,25.1977,38.0774,1.77079,0.37555
2680000,5,19.7441,43.1842,1.64877,0.41265
2690000,4,21.4113,41.4323,1.372,0.37238
2700000,4,17.8957,46.4981,4.82121,0.369
2710000,6,23.0666,45.7382,5.59522,0.3823
2720000,4,23.186,37.658,1.91116,0.3803
2730000,5,26.0786,26.6749,1.07246,0.39374
2740000,7,29.9887,48.8054,2.35983,0.3673
2750000,7,28.8397,57.5905,3.52913,0.385836
2760000,3,10.6243,47.4187,2.9599,0.3692
2770000,3,12.2054,43.3547,3.38958,0.3599
2780000,6,25.7003,12.6976,3.59282,0.39332
2790000,6,28.1287,31.1801,1.96768,0.37095
2800000,7,25.9423,45.3448,7.47442,0.37355
2810000,5,25.748,48.9862,3.04175,0.384333
2820000,8,35.3386,43.8578,3.30039,0.404575
2830000,6,26.6002,59.5691,2.06391,0.37295
2840000,8,36.2566,61.265,4.55592,0.3455
2850000,5,23.9909,44.5499,2.01513,0.362567
2860000,4,20.368,39.1491,3.16765,0.3798
2870000,4,21.087,47.0948,1.9856,0.3587
2880000,5,16.8663,62.6652,6.64128,0.4139
2890000,4,20.1869,54.3439,0.636876,0.3715
2900000,5,20.8037,51.1888,3.99315,0.383078
2910000,4,17.911,33.5185,3.06592,0.3684
2920000,6,21.785,34.3681,3.23191,0.386367
2930000,3,16.2357,51.4742,1.76417,0.39795
2940000,5,24.041,38.1379,2.10811,0.3747
2950000,4,20.626,49.112,1.6383,0.392014
2960000,5,24.3952,39.5534,2.74984,0.4144
2970000,5,18.28,37.6255,4.00996,0.37304
2980000,4,18.7064,32.8369,3.03499,0.4111
2990000,2,13.3949,27.9537,0.703854,0.3869
3000000,4,15.1431,56.3138,0.848022,0.40215
3010000,9,34.9103,56.1116,4.45104,0.3662
3020000,7,34.0343,49.9772,3.42769,0.3799
3030000,3,11.3336,34.1546,1.37947,0.3762
3040000,4,22.6436,53.0949,1.5155,0.3854
3050000,5,24.5105,53.3231,1.25582,0.363125
3060000,5,25.0943,47.6281,1.44759,0.4038
3070000,5,20.6086,42.7084,3.2375,0.37855
3080000,5,22.6612,42.915,2.1654,0.3745
3090000,6,24.9505,44.6656,4.66698,0.38012
3100000,5,24.4275,34.6374,1.69539,0.387975
3110000,9,44.6259,44.9043,3.06356,0.3648
3120000,5,21.1393,43.7809,5.74327,0.386733
3130000,8,34.797,37.2261,2.79997,0.39446
3140000,3,16.5721,31.974,1.08362,0.3734
3150000,7,33.1754,23.8998,4.93642,0.384
3160000,4,21.8062,28.2621,0.722764,0.4372
