generation,N_shifts,logPrior,logLik,eventRate,acceptRate
2700000,0,5.91373,43.1503,0.615027,0.458833
2710000,0,6.4816,48.9312,0.432191,0.436538
2720000,1,10.0196,57.0284,0.38881,0.4587
2730000,0,5.39788,46.161,0.804652,0.4623
2740000,1,12.2425,66.6134,0.520713,0.450367
2750000,1,12.3547,69.5609,0.320914,0.435075
2760000,3,22.3055,62.8292,0.792881,0.4525
2770000,2,18.1754,65.7618,0.411293,0.46105
2780000,8,42.2358,68.2142,5.59311,0.4645
2790000,1,10.2871,61.8455,1.16226,0.446
2800000,3,19.7422,75.6247,1.87139,0.465033
2810000,1,13.0815,64.1513,0.201895,0.4568
2820000,4,28.7484,69.859,2.38806,0.45275
2830000,1,8.15563,56.1344,0.232389,0.4879
2840000,1,12.3131,52.1399,0.970795,0.43887
2850000,2,12.718,44.2327,4.69463,0.4767
2860000,1,11.8461,64.8243,0.117316,0.44444
2870000,0,5.03379,40.8578,0.502141,0.47025
2880000,2,14.7669,47.2045,1.15234,0.4893
2890000,4,24.2515,61.2232,2.23562,0.450071
2900000,3,21.1603,59.3251,3.43086,0.4596
2910000,1,13.5013,65.5204,0.310431,0.4469
2920000,3,23.743,54.5113,2.50054,0.45655
2930000,0,5.7961,46.8385,0.158166,0.48076
2940000,1,11.4915,55.6626,0.679931,0.4787
2950000,0,6.07279,61.1667,0.73408,0.446267
2960000,4,22.3237,66.3979,1.56352,0.45902
2970000,4,22.7276,66.777,3.99429,0.459933
2980000,2,18.0586,72.9701,1.64767,0.43455
2990000,4,24.9045,91.727,3.16871,0.4347
3000000,0,6.86751,60.2618,0.0250935,0.44004
3010000,4,26.1711,82.5741,3.69463,0.4403
3020000,1,12.8637,73.3027,0.520902,0.4352
3030000,5,34.8806,50.9636,2.65147,0.46769
3040000,0,6.34197,59.9677,0.1787,0.45465
3050000,0,4.82119,51.1617,1.0357,0.464967
3060000,4,26.2053,72.1144,1.59424,0.48
3070000,4,23.5311,65.7822,2.97288,0.462967
3080000,7,42.5812,84.5762,5.25788,0.480867
3090000,4,30.2951,63.1039,1.91686,0.4625
3100000,0,6.72346,71.9434,0.146562,0.451667
3110000,6,39.1719,93.1794,3.92897,0.419367
3120000,2,16.9811,74.3789,2.05846,0.447967
3130000,0,5.90362,58.7189,0.680179,0.451467
3140000,3,17.2641,66.0578,2.48929,0.4419
3150000,2,18.1622,54.4556,1.36326,0.478033
3160000,7,49.0734,85.7333,1.9293,0.4506
3170000,2,17.512,68.0704,3.02051,0.4301
3180000,7,39.5509,82.4855,4.59591,0.456486
3190000,0,4.8458,37.513,0.189459,0.4694
3200000,1,12.2338,75.6966,0.237282,0.449207
3210000,0,5.40369,71.0203,0.701818,0.426033
3220000,0,6.19777,56.8577,0.62444,0.448
3230000,4,25.1393,65.0995,1.61169,0.476275
3240000,0,6.65842,60.1196,0.0260437,0.45055
3250000,1,13.2724,67.1136,0.0661464,0.450425
3260000,2,17.896,66.8343,0.710452,0.447967
3270000,1,9.0958,38.2516,1.94274,0.4521
3280000,0,4.92906,62.6125,0.976233,0.4843
3290000,1,11.1821,55.1741,0.801803,0.44975
3300000,5,35.4623,83.4565,2.47837,0.4558
