generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
78100000,Rana_weiningensis,NA,25.6023,0.0811291,-0.0132626,0.310563,0
78200000,Rana_weiningensis,Rana_shuchinae,0,0.105726,-0.0221263,0.00624535,0
78300000,Rana_weiningensis,Rana_shuchinae,0,0.24687,-0.0320086,0.0262054,0
78300000,Rana_shuchinae,NA,11.4966,0.010436,0.0113175,0.00503202,0
78400000,Rana_weiningensis,Rana_shuchinae,0,0.281223,-0.0439033,0.000161347,0
78500000,Rana_weiningensis,Rana_shuchinae,0,0.368119,-0.0492881,0.00581468,0
78500000,Rana_weiningensis,NA,26.3206,0.675492,-0.0441719,0.725105,0
78600000,Rana_weiningensis,Rana_shuchinae,0,0.184782,-0.0311389,0.0178506,0
78600000,Rana_asiatica,NA,46.9108,0.182008,-0.0429181,1.65795,0
78700000,Rana_weiningensis,Rana_shuchinae,0,0.162929,-0.0209059,0.018014,0
78800000,Rana_weiningensis,Rana_shuchinae,0,0.157923,-0.0269923,0.0105949,0
78800000,Rana_weiningensis,NA,32.0583,0.220412,0.0205441,0.723669,0
78900000,Rana_weiningensis,Rana_shuchinae,0,0.311757,-0.0477032,0.00413615,0
79000000,Rana_weiningensis,Rana_shuchinae,0,0.185533,-0.0232628,0.0340098,0
79100000,Rana_weiningensis,Rana_shuchinae,0,0.166634,-0.0299004,0.00110302,0
79200000,Rana_weiningensis,Rana_shuchinae,0,0.222666,-0.0287316,0.0224323,0
79300000,Rana_weiningensis,Rana_shuchinae,0,0.351395,-0.0411092,0.0246289,0
79400000,Rana_weiningensis,Rana_shuchinae,0,0.250594,-0.0361926,0.00874656,0
79500000,Rana_weiningensis,Rana_shuchinae,0,0.21819,-0.0314159,0.0293213,0
79600000,Rana_weiningensis,Rana_shuchinae,0,0.122672,-0.0216312,0.00369643,0
79700000,Rana_weiningensis,Rana_shuchinae,0,0.0888329,-0.0136953,0.00119198,0
79700000,Rana_palmipes,NA,46.1581,0.000742143,0.00536755,0.819324,0
79700000,Rana_chiricahuensis,NA,45.5612,0.159857,0.00552605,0.624829,0
79800000,Rana_weiningensis,Rana_shuchinae,0,0.178684,-0.0306402,0.00732337,0
79900000,Rana_weiningensis,Rana_shuchinae,0,0.231971,-0.0292211,0.0143839,0
80000000,Rana_weiningensis,Rana_shuchinae,0,0.204558,-0.0292578,0.0142816,0
80000000,Rana_chiricahuensis,NA,42.5184,0.46744,0.0259796,0.272253,0
80100000,Rana_weiningensis,Rana_shuchinae,0,0.164979,-0.0251205,0.00649927,0
80200000,Rana_weiningensis,Rana_shuchinae,0,0.195645,-0.0292979,0.0218762,0
80300000,Rana_weiningensis,Rana_shuchinae,0,0.160061,-0.0292478,0.000526104,0
80300000,Rana_blairi,Rana_berlandieri,38.8847,0.0367373,0.00070917,0.030914,0
80400000,Rana_weiningensis,Rana_shuchinae,0,0.130654,-0.0188659,0.000481603,0
80400000,Rana_sierramadrensis,NA,37.9132,0.035705,0.0254118,0.0448478,0
80500000,Rana_weiningensis,Rana_shuchinae,0,0.164915,-0.0253167,0.0107807,0
80600000,Rana_weiningensis,Rana_shuchinae,0,0.183395,-0.0353117,0.0060797,0
80700000,Rana_weiningensis,Rana_shuchinae,0,0.091212,-0.0132675,0.00350591,0
80800000,Rana_weiningensis,Rana_shuchinae,0,0.213344,-0.0308895,0.0270848,0
80900000,Rana_weiningensis,Rana_shuchinae,0,0.149239,-0.0254582,0.00732901,0
81000000,Rana_weiningensis,Rana_shuchinae,0,0.316533,-0.0395484,0.0289465,0
81000000,Rana_weiningensis,NA,32.2007,0.0464411,-0.0557354,0.448826,0
81000000,Rana_sylvatica,NA,40.0854,0.154833,0.0526707,0.588509,0
81100000,Rana_weiningensis,Rana_shuchinae,0,0.105637,-0.011523,0.00842387,0
81100000,Rana_weiningensis,NA,5.5253,0.175484,0.00213675,0.182,0
81100000,Rana_tagoi,NA,43.1219,0.0829865,-0.00121143,0.0280792,0
81100000,Rana_hanluica,NA,46.6971,0.347085,-0.0200559,0.20171,0
81100000,Rana_clamitans,Rana_okaloosae,42.7407,0.453191,0.0033652,0.165325,0
81100000,Rana_juliani,NA,45.8174,0.20273,-0.0161043,0.111118,0
81200000,Rana_weiningensis,Rana_shuchinae,0,0.196096,-0.0307397,0.00663206,0
81300000,Rana_weiningensis,Rana_shuchinae,0,0.184258,-0.0263405,0.0197782,0
81400000,Rana_weiningensis,Rana_shuchinae,0,0.197767,-0.0294355,0.0214622,0
81500000,Rana_weiningensis,Rana_shuchinae,0,0.187088,-0.0280541,0.00433992,0
81600000,Rana_weiningensis,Rana_shuchinae,0,0.145357,-0.0178476,0.0199659,0
81600000,Rana_weiningensis,NA,11.6183,0.0448269,-0.00682395,0.0817452,0
81700000,Rana_weiningensis,Rana_shuchinae,0,0.155093,-0.0193709,0.0392487,0
81800000,Rana_weiningensis,Rana_shuchinae,0,0.13949,-0.0240088,0.00257086,0
81900000,Rana_weiningensis,Rana_shuchinae,0,0.144468,-0.0242484,0.00298878,0
82000000,Rana_weiningensis,Rana_shuchinae,0,0.114551,-0.0154555,0.00902143,0
82100000,Rana_weiningensis,Rana_shuchinae,0,0.176904,-0.0289208,0.00316087,0
82200000,Rana_weiningensis,Rana_shuchinae,0,0.238743,-0.0335859,0.0104087,0
