generation,leftchild,rightchild,abstime,betainit,betashift
1110000,Rana_shuchinae,Rana_okaloosae,0,0.0012189,-0.000119965
1120000,Rana_shuchinae,Rana_okaloosae,0,0.00133165,0.0160537
1130000,Rana_shuchinae,Rana_okaloosae,0,0.00080297,0.016554
1130000,Rana_palmipes,NA,38.8045,0.00141407,-0.00934413
1130000,Rana_dunni,NA,40.7259,0.00521901,-0.00687506
1140000,Rana_shuchinae,Rana_okaloosae,0,0.00126999,0.000185834
1150000,Rana_shuchinae,Rana_okaloosae,0,0.00151051,0.0194522
1150000,Rana_temporaria,NA,38.8378,0.00495438,-0.0523039
1160000,Rana_shuchinae,Rana_okaloosae,0,0.0014107,0.00119913
1170000,Rana_shuchinae,Rana_okaloosae,0,0.0030265,-0.0101189
1170000,Rana_sierramadrensis,NA,35.1849,0.00413217,0.0133382
1180000,Rana_shuchinae,Rana_okaloosae,0,0.00083061,0.0110927
1190000,Rana_shuchinae,Rana_okaloosae,0,0.00197192,-0.0129604
1190000,Rana_palustris,Rana_sevosa,29.5779,0.0025701,0.0492164
1200000,Rana_shuchinae,Rana_okaloosae,0,0.0020915,-0.019137
1200000,Rana_arvalis,Rana_temporaria,28.2658,0.00183116,-0.0282359
1210000,Rana_shuchinae,Rana_okaloosae,0,0.000822896,0.0228112
1220000,Rana_shuchinae,Rana_okaloosae,0,0.00403358,-0.0134394
1230000,Rana_shuchinae,Rana_okaloosae,0,0.00432766,-0.0339355
1240000,Rana_shuchinae,Rana_okaloosae,0,0.00282556,-0.0315791
1250000,Rana_shuchinae,Rana_okaloosae,0,0.00155673,-0.00725068
1260000,Rana_shuchinae,Rana_okaloosae,0,0.00444536,-0.0269913
1260000,Rana_tarahumarae,NA,30.5138,0.00148943,0.00557026
1270000,Rana_shuchinae,Rana_okaloosae,0,0.00595293,-0.0442826
1280000,Rana_shuchinae,Rana_okaloosae,0,0.00398196,-0.0442826
1280000,Rana_huanrensis,NA,41.2155,0.00633199,0.049172
1280000,Rana_omeimontis,Rana_longicrus,23.81,0.000845049,0.0318434
1280000,Rana_pipiens,Rana_palustris,13.7977,0.00503587,0.00416374
1290000,Rana_shuchinae,Rana_okaloosae,0,0.00100983,0.00639859
1290000,Rana_amurensis,NA,39.6306,0.0113517,0.00214879
1290000,Rana_chiricahuensis,Rana_dunni,32.6478,0.00436765,-0.0192475
1300000,Rana_shuchinae,Rana_okaloosae,0,0.00342297,-0.0108321
1310000,Rana_shuchinae,Rana_okaloosae,0,0.000944925,0.00139224
1320000,Rana_shuchinae,Rana_okaloosae,0,0.00304384,-0.0258589
1320000,Rana_shuchinae,NA,20.7211,0.00461992,-0.0226644
1320000,Rana_ornativentris,NA,42.0844,0.0226069,0.0320653
1320000,Rana_pipiens,Rana_chiricahuensis,26.9065,0.00851196,0.0353314
1330000,Rana_shuchinae,Rana_okaloosae,0,0.00103932,0.0201172
1340000,Rana_shuchinae,Rana_okaloosae,0,0.000997897,0.0198695
1340000,Rana_sauteri,NA,26.3526,0.000485053,-0.0260046
1350000,Rana_shuchinae,Rana_okaloosae,0,0.00777094,-0.0330466
1350000,Rana_johnsi,Rana_macrocnemis,8.57689,0.000395482,0.00563578
1350000,Rana_sevosa,NA,40.0476,0.0247441,0.0152904
1360000,Rana_shuchinae,Rana_okaloosae,0,0.00081081,0.0125953
1370000,Rana_shuchinae,Rana_okaloosae,0,0.00137297,0.0147563
1370000,Rana_pirica,NA,40.4806,0.00325482,-0.00854643
1370000,Rana_pipiens,Rana_chiricahuensis,30.2938,0.00596537,0.00532522
1370000,Rana_palustris,NA,39.0758,0.00452402,0.0175477
1380000,Rana_shuchinae,Rana_okaloosae,0,0.00131931,0.0081706
1390000,Rana_shuchinae,Rana_okaloosae,0,0.00158777,-0.00542964
1400000,Rana_shuchinae,Rana_okaloosae,0,0.00143143,0.00132644
1400000,Rana_macrocnemis,NA,37.6069,0.00632985,0.0494504
1410000,Rana_shuchinae,Rana_okaloosae,0,0.000944375,0.0338966
1410000,Rana_omeimontis,Rana_longicrus,25.6203,0.00196712,0.00292921
1410000,Rana_vibicaria,NA,41.0301,0.00230393,0.0194943
1410000,Rana_sierramadrensis,NA,35.2477,0.011307,-0.0106046
1410000,Rana_pipiens,NA,33.7924,0.0053596,0.0159574
1410000,Rana_pipiens,Rana_chiricahuensis,24.2197,0.0107305,0.0177686
1420000,Rana_shuchinae,Rana_okaloosae,0,0.00324254,-0.0207744
1420000,Rana_sauteri,NA,26.1476,0.000935842,0.0357422
1420000,Rana_okaloosae,NA,24.4447,0.000112354,0.0257117
1420000,Rana_magnaocularis,NA,33.8079,0.00618205,0.0658084
1420000,Rana_yavapaiensis,NA,35.011,0.00929731,0.000691565
1430000,Rana_shuchinae,Rana_okaloosae,0,0.0041903,-0.0416048
1440000,Rana_shuchinae,Rana_okaloosae,0,0.000601026,0.0507251
1450000,Rana_shuchinae,Rana_okaloosae,0,0.00246137,-0.00484228
1450000,Rana_palmipes,NA,38.7813,0.00136695,-0.0119067
1460000,Rana_shuchinae,Rana_okaloosae,0,0.00178917,0.018523
1460000,Rana_johnsi,Rana_zhengi,28.36,0.00580028,-0.0142723
1470000,Rana_shuchinae,Rana_okaloosae,0,0.000882983,0.022849
1480000,Rana_shuchinae,Rana_okaloosae,0,0.00230245,-0.00870919
1480000,Rana_macrocnemis,NA,27.9403,0.000500991,-0.016602
1480000,Rana_ornativentris,NA,38.4759,0.0087247,-0.036541
1480000,Rana_omeimontis,Rana_longicrus,24.5932,0.00271692,-0.00263256
1480000,Rana_vaillanti,NA,34.5951,0.00143106,0.0426988
1480000,Rana_vaillanti,Rana_bwana,24.1917,0.000487588,0.0214708
1490000,Rana_shuchinae,Rana_okaloosae,0,0.00355858,-0.0241519
1490000,Rana_johnsi,Rana_zhengi,22.4755,0.00198808,0.012855
1500000,Rana_shuchinae,Rana_okaloosae,0,0.000481038,0.0158153
1500000,Rana_zhengi,NA,40.0742,0.00595213,0.0402584
1500000,Rana_sakuraii,NA,39.7891,0.00966346,0.0434732
1500000,Rana_pipiens,Rana_palustris,13.9706,0.00613951,-0.00178631
1510000,Rana_shuchinae,Rana_okaloosae,0,0.000795634,0.052422
1520000,Rana_shuchinae,Rana_okaloosae,0,0.000960735,0.0632167
1520000,Rana_chiricahuensis,Rana_dunni,34.1884,0.000621866,0.0240445
1520000,Rana_coreana,NA,36.8383,0.00559535,0.00594247
1530000,Rana_shuchinae,Rana_okaloosae,0,0.00107983,0.0133726
1530000,Rana_dunni,NA,35.7034,0.00658002,0.0605696
1540000,Rana_shuchinae,Rana_okaloosae,0,0.001819,0.00369509
1550000,Rana_shuchinae,Rana_okaloosae,0,0.00231355,-0.0094118
1550000,Rana_sevosa,NA,42.5635,0.0255782,0.0605513
1560000,Rana_shuchinae,Rana_okaloosae,0,0.00184974,-0.0134652
1560000,Rana_johnsi,Rana_zhengi,37.5066,0.00719101,0.010667
1560000,Rana_yavapaiensis,NA,35.2353,0.00772227,-0.00612426
1560000,Rana_warszewitschii,Rana_sierramadrensis,7.04269,0.00464422,-0.0182371
1570000,Rana_shuchinae,Rana_okaloosae,0,0.00152976,0.0111816
1580000,Rana_shuchinae,Rana_okaloosae,0,0.000513162,0.0117486
1580000,Rana_longicrus,NA,42.1282,0.0205596,0.0229309
1580000,Rana_pipiens,Rana_palustris,20.8317,0.00272353,0.0193141
1590000,Rana_shuchinae,Rana_okaloosae,0,0.00123837,0.0117486
1590000,Rana_sakuraii,NA,37.8181,0.000317834,-0.0530053
1590000,Rana_dybowskii,NA,34.5738,0.00259506,0.0188197
1590000,Rana_sphenocephala,NA,39.418,0.00301176,-0.000504105
1590000,Rana_yavapaiensis,NA,40.5523,0.0149144,-0.0111671
1600000,Rana_shuchinae,Rana_okaloosae,0,0.00144163,-0.00475708
1600000,Rana_macrocnemis,NA,31.688,3.71565e-005,-0.0191544
1610000,Rana_shuchinae,Rana_okaloosae,0,0.0038145,-0.0205471
1620000,Rana_shuchinae,Rana_okaloosae,0,0.00149902,0.0432907
1620000,Rana_tagoi,Rana_sakuraii,30.1577,0.00605546,-0.0168615
1620000,Rana_bwana,NA,40.3404,0.00514984,0.0713622
1630000,Rana_shuchinae,Rana_okaloosae,0,0.00338832,-0.0222739
1640000,Rana_shuchinae,Rana_okaloosae,0,0.00146227,0.0309254
1650000,Rana_shuchinae,Rana_okaloosae,0,0.00130224,0.0171312
1660000,Rana_shuchinae,Rana_okaloosae,0,0.00162741,-0.0147186
1660000,Rana_pipiens,Rana_palustris,15.5019,0.0053605,0.00995042
1670000,Rana_shuchinae,Rana_okaloosae,0,0.00179323,-0.0208396
1670000,Rana_shuchinae,NA,19.0523,0.000128124,-0.0121782
1670000,Rana_tagoi,NA,41.7551,0.000902047,-0.0223866
1670000,Rana_amurensis,Rana_coreana,28.1299,0.00213412,0.0164763
1670000,Rana_longicrus,NA,37.1294,0.0152521,-0.00502535
1670000,Rana_sierramadrensis,Rana_pipiens,11.9118,0.00362921,0.0132139
1680000,Rana_shuchinae,Rana_okaloosae,0,0.000912063,0.0235544
1680000,Rana_shuchinae,NA,19.8734,0.0137364,-0.0221473
1690000,Rana_shuchinae,Rana_okaloosae,0,0.000943031,0.0451133
1690000,Rana_chensinensis,NA,39.977,0.000602872,-0.0113576
1690000,Rana_coreana,NA,36.5855,0.0109182,0.041286
1700000,Rana_shuchinae,Rana_okaloosae,0,0.00265809,-0.0111749
1700000,Rana_amurensis,NA,31.0254,0.00900346,-0.0168445
1700000,Rana_vaillanti,NA,35.0665,0.00844783,0.0273315
1710000,Rana_shuchinae,Rana_okaloosae,0,0.000899983,0.0207773
1710000,Rana_palustris,Rana_sevosa,27.6638,0.00593791,-0.0025764
1720000,Rana_shuchinae,Rana_okaloosae,0,0.000920459,0.0233051
1720000,Rana_arvalis,Rana_temporaria,29.1392,0.00182941,0.00328917
1730000,Rana_shuchinae,Rana_okaloosae,0,0.00114377,0.0036473
1740000,Rana_shuchinae,Rana_okaloosae,0,0.0016235,0.00491629
1750000,Rana_shuchinae,Rana_okaloosae,0,0.00126587,0.0159591
1760000,Rana_shuchinae,Rana_okaloosae,0,0.00357916,-0.0123462
1770000,Rana_shuchinae,Rana_okaloosae,0,0.00109138,0.00758084
1770000,Rana_sevosa,NA,34.5973,0.00581966,0.00304212
1780000,Rana_shuchinae,Rana_okaloosae,0,0.00369328,-0.0163467
1790000,Rana_shuchinae,Rana_okaloosae,0,0.00152165,-0.00557051
1800000,Rana_shuchinae,Rana_okaloosae,0,0.00205414,-0.00209462
1800000,Rana_dybowskii,NA,34.5573,0.00632597,0.0291119
1800000,Rana_sakuraii,NA,37.1457,0.00777539,0.0155064
1800000,Rana_coreana,NA,40.442,0.00334459,0.0142832
1810000,Rana_shuchinae,Rana_okaloosae,0,0.00117846,0.000737213
1820000,Rana_shuchinae,Rana_okaloosae,0,0.00249824,-0.0152689
1820000,Rana_tagoi,Rana_sakuraii,32.509,0.000713643,-0.0237865
1820000,Rana_palustris,Rana_sphenocephala,22.4427,0.00230398,0.00852622
1830000,Rana_shuchinae,Rana_okaloosae,0,0.00273032,-0.0139015
