generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1900000,1,6.8592,-108.702,0.592583,0.398327
1910000,1,5.21769,-106.939,1.74499,0.532
1920000,1,5.46867,-109.409,1.18106,0.4053
1930000,1,3.7136,-107.887,0.603019,0.53145
1940000,1,4.51466,-111.582,0.707394,0.5306
1950000,2,4.65372,-109.204,0.827506,0.41574
1960000,1,4.2721,-112.691,2.15514,0.412775
1970000,0,2.57889,-112.554,0.745976,0.4047
1980000,0,3.49155,-111.295,0.301419,0.3998
1990000,0,2.92129,-113.417,1.21136,0.40624
2000000,0,2.04063,-112.495,0.655474,0.4022
2010000,1,6.25959,-110.767,0.896742,0.421367
2020000,2,6.84938,-110.023,0.997432,0.442
2030000,1,2.79984,-111.836,0.109617,0.4596
2040000,1,3.32765,-107.413,0.576975,0.417304
2050000,0,3.37639,-111.651,0.0660085,0.417167
2060000,0,3.54408,-112.283,0.0801174,0.391733
2070000,1,1.20211,-113.542,0.269974,0.529643
2080000,1,6.27253,-107.416,0.802168,0.54775
2090000,0,2.74421,-113.699,0.611165,0.42005
2100000,0,2.1662,-111.93,0.565692,0.408733
2110000,0,3.70041,-112.966,0.0927399,0.42808
2120000,0,3.90922,-114.061,0.0876216,0.3784
2130000,0,2.41444,-112.299,0.503177,0.41474
2140000,0,2.39886,-112.788,1.07654,0.4166
2150000,1,4.78974,-107.029,0.66984,0.392367
2160000,2,9.33585,-107.898,1.5313,0.492783
2170000,0,3.10352,-112.566,0.519609,0.413475
2180000,0,3.6392,-111.957,0.047499,0.46115
2190000,0,2.9492,-111.844,0.568136,0.41356
2200000,0,3.50796,-113.731,0.227246,0.41284
2210000,0,2.47576,-112.118,0.299529,0.445833
2220000,0,2.90695,-113.315,0.776352,0.46464
2230000,0,3.35111,-114.906,0.254339,0.3797
2240000,0,3.37493,-114.994,0.0241736,0.42485
2250000,0,3.67597,-111.472,0.00366223,0.41
2260000,2,5.27539,-107.824,2.80299,0.481886
2270000,0,3.05737,-112.08,0.0955844,0.3869
2280000,1,2.33635,-111.754,1.40483,0.4721
2290000,1,4.14181,-106.459,1.84222,0.5281
2300000,0,0.775479,-111.933,2.89536,0.42745
2310000,1,6.85046,-112.337,0.461442,0.419375
2320000,1,2.75421,-115.065,0.185307,0.41956
2330000,1,3.15161,-108.776,0.517285,0.534675
2340000,2,7.28244,-106.81,1.25029,0.5446
2350000,1,2.16922,-114.644,2.03231,0.41018
2360000,1,1.99046,-112.871,4.86788,0.435
2370000,2,2.9434,-108.564,2.32556,0.4982
2380000,0,1.36682,-112.882,1.35965,0.5124
2390000,1,0.94646,-107.629,0.268796,0.479662
2400000,2,9.48688,-107.996,0.92969,0.43915
2410000,1,5.77755,-107.967,1.64398,0.53165
2420000,1,6.69417,-115.295,0.367597,0.5409
2430000,2,5.86333,-108.396,0.85874,0.5285
2440000,1,5.51106,-108.278,0.658284,0.45199
2450000,1,3.78036,-106.912,1.74682,0.53082
2460000,4,5.32537,-108.594,2.05455,0.412275
2470000,0,3.24258,-115.187,0.0405531,0.5101
2480000,3,6.67936,-107.646,1.31217,0.418875
2490000,2,9.81297,-113.887,0.589669,0.401
2500000,1,5.8318,-109.113,1.16757,0.49832
2510000,0,4.00637,-112.158,0.0578402,0.430925
2520000,1,6.28105,-107.339,0.688855,0.5459
2530000,0,2.10638,-113.222,1.70785,0.5216
2540000,2,5.25662,-105.094,1.56124,0.51775
2550000,1,4.17966,-106.732,1.40635,0.5287
2560000,3,7.2815,-108.59,2.34526,0.428967
2570000,1,2.72027,-108.864,1.93481,0.478117
2580000,1,2.14673,-108.677,0.765214,0.48152
2590000,0,3.49117,-115.811,0.701477,0.3984
2600000,2,10.3281,-110.383,0.988215,0.537733
2610000,0,1.88764,-111.939,0.646256,0.40485
2620000,1,5.4261,-112.115,1.08284,0.4207
2630000,1,-1.05637,-107.965,2.5086,0.480325
2640000,4,7.65775,-106.112,0.969428,0.53245
2650000,1,4.56384,-108.325,1.01078,0.437344
2660000,1,6.0365,-113.104,0.811919,0.4462
2670000,1,4.07812,-108.525,1.33122,0.512567
2680000,1,5.63938,-111.368,0.1189,0.43164
2690000,0,2.60555,-114.257,0.374133,0.513767
2700000,1,5.57178,-110.454,1.17413,0.39845
2710000,0,3.29651,-111.541,0.500912,0.41552
2720000,1,4.64024,-109.335,0.479038,0.429667
2730000,2,7.59783,-112.533,1.5866,0.421933
2740000,0,3.16961,-114.748,0.536215,0.422575
2750000,0,2.21792,-113.775,1.37912,0.466233
2760000,0,2.81722,-113.095,1.15498,0.42975
2770000,0,3.47738,-113.154,0.549624,0.41625
2780000,0,2.95979,-114.103,0.324801,0.3947
2790000,2,5.63973,-107.048,1.25717,0.482217
2800000,0,3.41019,-112.976,0.0463015,0.448
2810000,0,2.543,-112.6,0.133188,0.42175
