Species;Genus;SVL;HL;HW;ED;TD;ETD;IOD;IND;UEW;EN;SL;NS;HAL;FLL;LAL;FL;TFL;TL;THL;TSL;HLL
Rana_montezumae;Lithobates;100;NA;35.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55.5;NA;45.1;NA;NA;NA
Rana_neovolcanica;Lithobates;71.4;24.5;23.5;NA;5.7;NA;4.2;5.2;NA;6.3;NA;NA;NA;NA;NA;42.5;65.3;42;NA;22.8;NA
Rana_okaloosae;Lithobates;44.4;17.5;15.4;5.4;5.1;NA;3.1;3.3;NA;4.3;4.6;NA;NA;NA;NA;23;32;NA;NA;9;64.8
Rana_omiltemana;Lithobates;;;;;;;;;;;;;;;;;;;;;
Rana_onca;Lithobates;;;;;;;;;;;;;;;;;;;;;
Rana_palmipes;Lithobates;92;35.7;35.8;3.4;8.3;NA;8.9;8.1;NA;8.8;NA;NA;NA;NA;NA;49.2;74.6;47.3;NA;25.4;NA
Rana_palustris;Lithobates;51.73;17.42;17.41;4.21;3.92;NA;3.63;3.79;NA;4;NA;3.52;NA;NA;NA;44.28;NA;30.91;27.07;NA;NA
Rana_pipiens;Lithobates;58.24;18.26;18.66;6.29;4.43;NA;3.4;4.29;NA;4.38;NA;4.59;NA;NA;NA;50.65;NA;34.89;30.42;NA;NA
Rana_psilonota;Lithobates;;;;;;;;;;;;;;;;;;;;;
Rana_pustulosa;Lithobates;67.79;25.38;27.31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;108.035
Rana_septentrionalis;Lithobates;56;NA;23;7;10;NA;11;4;32;NA;9;NA;NA;NA;NA;32;NA;29;NA;NA;88
Rana_sevosa;Lithobates;82.5;28.5;35;8;6;NA;5.5;6.5;NA;6.5;NA;7;20;18.5;NA;60;82;37.5;NA;22;NA
Rana_sierramadrensis;Lithobates;70;28.5;25.2;8.1;4.2;NA;5.5;NA;NA;NA;10;NA;NA;NA;NA;55;NA;44.5;NA;NA;132
Rana_spectabilis;Lithobates;67;21.1;23.7;NA;5.9;NA;3.9;5;NA;4.7;NA;NA;NA;NA;NA;36.7;56.1;35.6;NA;19.4;NA
Rana_sphenocephala;Lithobates;57.92;19.92;18.09;5.65;4.68;NA;3.68;3.75;NA;4.74;NA;4.02;NA;NA;NA;49.73;NA;33.6;30.26;NA;NA
Rana_sylvatica;Lithobates;;;;;;;;;;;;;;;;;;;;;
Rana_tarahumarae;Lithobates;59.97826087;20.95652174;22.66521739;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;96.24347826
Rana_tlaloci;Lithobates;66.3;20.9;23.5;NA;5.4;NA;4;4.7;NA;5;NA;NA;NA;NA;NA;38.5;58;39.1;NA;19.5;NA
Rana_vaillanti;Lithobates;91.3;35.1;34;3.5;8;NA;7.1;7.7;NA;9.1;NA;NA;NA;NA;NA;49.2;76;49.8;NA;26.8;NA
Rana_vibicaria;Lithobates;56;19;20;7;4;NA;3.5;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;26;NA;NA;87
Rana_warszewitschii;Lithobates;51.5;21.115;16.48;6.1;NA;NA;4.6144;4.7792;NA;4.01185;NA;NA;NA;NA;NA;21.63;NA;NA;NA;NA;NA
Rana_yavapaiensis;Lithobates;54.7;21.7;20.35;NA;4.5;NA;NA;4.4;NA;NA;NA;5.2;NA;NA;NA;NA;NA;31.8;NA;NA;NA
Rana_zweifeli;Lithobates;100.1;33.8;38.2;NA;6;5.5;NA;7.5;NA;7.1;NA;NA;NA;NA;NA;67;NA;47.5;NA;NA;NA
Rana_weiningensis;Pseudorana;35;12.4;11.7;4;1.5;NA;3.6;4.4;2.3;NA;5.4;NA;9.1;NA;16;18.9;27.5;20.5;NA;NA;62
Rana_amurensis;Rana;58.5;18.8;18.7;6.9;3.8;NA;3.1;3.5;4.4;NA;7.1;NA;NA;NA;26.2;32.3;46.2;28.9;NA;NA;96.5
